"id","order_code","priority","sequence_number","status","created_at","sku","quantity","source_order_id","source_status","source_row"
"ORD-A9GBX","ORD-A9GBX","urgent","4","queued","2024-02-03T04:34:14.421205","PRD-CMCX-R837344","1","ORD-A9GBX","Pending","837345"
"ORD-MI6OD","ORD-MI6OD","high","5","queued","2024-02-03T04:35:56.872135","PRD-DRYT-R306281","2","ORD-MI6OD","Pending","306282"
"ORD-EWLM6","ORD-EWLM6","normal","6","queued","2024-02-03T04:36:20.378297","PRD-9F9N-R70726","3","ORD-EWLM6","Pending","70727"
"ORD-JOOB3","ORD-JOOB3","normal","14","queued","2024-02-03T04:42:44.157571","PRD-ILJO-R397754","1","ORD-JOOB3","Pending","397755"
"ORD-H87JR","ORD-H87JR","high","33","queued","2024-02-03T04:57:30.923728","PRD-YMPT-R649433","4","ORD-H87JR","Pending","649434"
"ORD-I8ZA8","ORD-I8ZA8","normal","34","queued","2024-02-03T04:57:33.341282","PRD-I2I6-R285035","5","ORD-I8ZA8","Pending","285036"
"ORD-J9131","ORD-J9131","urgent","63","queued","2024-02-03T05:34:14.835627","PRD-BTHH-R787143","1","ORD-J9131","Pending","787144"
"ORD-PFKI6","ORD-PFKI6","high","71","queued","2024-02-03T05:40:16.128724","PRD-1YIL-R267302","4","ORD-PFKI6","Pending","267303"
"ORD-U37CK","ORD-U37CK","urgent","92","queued","2024-02-03T05:56:42.109514","PRD-73ZK-R991147","2","ORD-U37CK","Pending","991148"
"ORD-YJEYX","ORD-YJEYX","urgent","96","queued","2024-02-03T06:03:42.847348","PRD-SBW7-R636327","4","ORD-YJEYX","Pending","636328"
"ORD-PB9AE","ORD-PB9AE","urgent","97","queued","2024-02-03T06:03:45.283441","PRD-7YTH-R896980","4","ORD-PB9AE","Pending","896981"
"ORD-8VN20","ORD-8VN20","high","108","queued","2024-02-03T06:10:54.892524","PRD-F7JL-R16099","3","ORD-8VN20","Pending","16100"
"ORD-JZDXP","ORD-JZDXP","high","126","queued","2024-02-03T06:32:12.003519","PRD-DTKV-R230695","3","ORD-JZDXP","Pending","230696"
"ORD-39QIZ","ORD-39QIZ","normal","131","queued","2024-02-03T06:35:31.654887","PRD-SF7L-R971428","1","ORD-39QIZ","Pending","971429"
"ORD-I6ZOZ","ORD-I6ZOZ","normal","139","queued","2024-02-03T06:43:32.425309","PRD-ON4V-R740410","2","ORD-I6ZOZ","Pending","740411"
"ORD-FYNAR","ORD-FYNAR","urgent","147","queued","2024-02-03T07:01:41.778506","PRD-15H7-R416990","5","ORD-FYNAR","Pending","416991"
"ORD-EDZ59","ORD-EDZ59","normal","160","queued","2024-02-03T07:18:30.481957","PRD-Q8QO-R624776","4","ORD-EDZ59","Pending","624777"
"ORD-WVF14","ORD-WVF14","urgent","172","queued","2024-02-03T07:33:49.047917","PRD-78L9-R138318","3","ORD-WVF14","Pending","138319"
"ORD-QECL9","ORD-QECL9","urgent","183","queued","2024-02-03T07:38:25.987271","PRD-8AI7-R108031","3","ORD-QECL9","Pending","108032"
"ORD-UKP18","ORD-UKP18","urgent","184","queued","2024-02-03T07:39:46.682728","PRD-HWPQ-R716348","4","ORD-UKP18","Pending","716349"
"ORD-FGZSY","ORD-FGZSY","urgent","191","queued","2024-02-03T07:48:17.842621","PRD-K8IZ-R591382","3","ORD-FGZSY","Pending","591383"
"ORD-WMTMR","ORD-WMTMR","high","193","queued","2024-02-03T07:50:54.529806","PRD-LAXD-R141869","5","ORD-WMTMR","Pending","141870"
"ORD-9LD2I","ORD-9LD2I","normal","199","queued","2024-02-03T07:58:11.006528","PRD-EEV6-R122475","3","ORD-9LD2I","Pending","122476"
"ORD-EWSFL","ORD-EWSFL","high","214","queued","2024-02-03T08:14:33.072893","PRD-L4ZU-R335970","2","ORD-EWSFL","Pending","335971"
"ORD-NDUQI","ORD-NDUQI","urgent","241","queued","2024-02-03T08:45:14.085159","PRD-MZSW-R670977","4","ORD-NDUQI","Pending","670978"
"ORD-IEBVR","ORD-IEBVR","high","245","queued","2024-02-03T08:47:33.821856","PRD-STYT-R924552","1","ORD-IEBVR","Pending","924553"
"ORD-E01RC","ORD-E01RC","normal","250","queued","2024-02-03T08:57:26.691077","PRD-MI9I-R193865","3","ORD-E01RC","Pending","193866"
"ORD-CQ7SU","ORD-CQ7SU","urgent","252","queued","2024-02-03T08:58:20.905293","PRD-KKLC-R679870","2","ORD-CQ7SU","Pending","679871"
"ORD-O0TGQ","ORD-O0TGQ","urgent","279","queued","2024-02-03T09:31:21.457796","PRD-4K0L-R956662","4","ORD-O0TGQ","Pending","956663"
"ORD-VHL5G","ORD-VHL5G","high","285","queued","2024-02-03T09:37:24.195673","PRD-4R9R-R21538","3","ORD-VHL5G","Pending","21539"
"ORD-6G1QV","ORD-6G1QV","high","293","queued","2024-02-03T09:47:43.157142","PRD-T3FZ-R170382","2","ORD-6G1QV","Pending","170383"
"ORD-OZ2FX","ORD-OZ2FX","high","300","queued","2024-02-03T09:57:03.691357","PRD-9QVS-R641804","1","ORD-OZ2FX","Pending","641805"
"ORD-A3Q04","ORD-A3Q04","urgent","304","queued","2024-02-03T10:00:37.836278","PRD-282Q-R309776","2","ORD-A3Q04","Pending","309777"
"ORD-WCV0K","ORD-WCV0K","high","308","queued","2024-02-03T10:05:28.438471","PRD-GHHX-R24647","2","ORD-WCV0K","Pending","24648"
"ORD-MJJJO","ORD-MJJJO","high","310","queued","2024-02-03T10:11:13.600914","PRD-ZHJH-R605604","4","ORD-MJJJO","Pending","605605"
"ORD-5J9U3","ORD-5J9U3","high","319","queued","2024-02-03T10:21:26.547748","PRD-G0PJ-R276036","5","ORD-5J9U3","Pending","276037"
"ORD-WDTZV","ORD-WDTZV","high","364","queued","2024-02-03T11:10:24.573233","PRD-RNIM-R365288","3","ORD-WDTZV","Pending","365289"
"ORD-N815I","ORD-N815I","urgent","370","queued","2024-02-03T11:16:40.067327","PRD-26XS-R128448","3","ORD-N815I","Pending","128449"
"ORD-9PSYK","ORD-9PSYK","urgent","376","queued","2024-02-03T11:25:11.285843","PRD-PVWZ-R708253","1","ORD-9PSYK","Pending","708254"
"ORD-7AXCF","ORD-7AXCF","urgent","388","queued","2024-02-03T11:34:18.028671","PRD-8FH5-R755951","3","ORD-7AXCF","Pending","755952"
"ORD-MN3IQ","ORD-MN3IQ","normal","393","queued","2024-02-03T11:39:51.743983","PRD-DTY9-R360857","4","ORD-MN3IQ","Pending","360858"
"ORD-36Y2Q","ORD-36Y2Q","urgent","410","queued","2024-02-03T12:00:48.367152","PRD-3954-R970593","4","ORD-36Y2Q","Pending","970594"
"ORD-86ZQ5","ORD-86ZQ5","normal","421","queued","2024-02-03T12:12:40.680559","PRD-OOLO-R181857","3","ORD-86ZQ5","Pending","181858"
"ORD-OY47G","ORD-OY47G","urgent","424","queued","2024-02-03T12:14:24.532515","PRD-AO28-R686705","3","ORD-OY47G","Pending","686706"
"ORD-C9XA0","ORD-C9XA0","normal","428","queued","2024-02-03T12:22:12.714608","PRD-AGCD-R976837","3","ORD-C9XA0","Pending","976838"
"ORD-AH0Q5","ORD-AH0Q5","high","429","queued","2024-02-03T12:23:25.293234","PRD-8DUX-R92946","3","ORD-AH0Q5","Pending","92947"
"ORD-SK28Y","ORD-SK28Y","high","432","queued","2024-02-03T12:26:37.504663","PRD-X5XM-R868153","5","ORD-SK28Y","Pending","868154"
"ORD-JCXKB","ORD-JCXKB","high","433","queued","2024-02-03T12:27:03.786292","PRD-GO6M-R689742","3","ORD-JCXKB","Pending","689743"
"ORD-4BWLT","ORD-4BWLT","normal","435","queued","2024-02-03T12:28:05.067516","PRD-N3N3-R580352","1","ORD-4BWLT","Pending","580353"
"ORD-RYQB9","ORD-RYQB9","normal","443","queued","2024-02-03T12:33:51.761440","PRD-ITUK-R857052","1","ORD-RYQB9","Pending","857053"
"ORD-U4BE7","ORD-U4BE7","high","450","queued","2024-02-03T12:37:48.779071","PRD-U1FW-R199897","4","ORD-U4BE7","Pending","199898"
"ORD-K2OQF","ORD-K2OQF","urgent","453","queued","2024-02-03T12:39:35.633752","PRD-RSVI-R46483","5","ORD-K2OQF","Pending","46484"
"ORD-6YUYL","ORD-6YUYL","high","461","queued","2024-02-03T12:44:54.608355","PRD-QHG5-R921896","1","ORD-6YUYL","Pending","921897"
"ORD-W39ZK","ORD-W39ZK","normal","467","queued","2024-02-03T12:51:17.331352","PRD-ICTJ-R470852","2","ORD-W39ZK","Pending","470853"
