"id","sku","name","category","stock","reorder_level","created_at","updated_at","source_product_id"
"PRD-CMCX-R837344","PRD-CMCX-R837344","Bedsheet Set Cotton","Home","191","0","2024-02-03T04:34:14.421205","2024-02-03T04:34:14.421205","PRD-CMCX"
"PRD-DRYT-R306281","PRD-DRYT-R306281","Vitamin C Tablets","Health","581","0","2024-02-03T04:35:56.872135","2024-02-03T04:35:56.872135","PRD-DRYT"
"PRD-9F9N-R70726","PRD-9F9N-R70726","Desk Lamp LED","Home","470","0","2024-02-03T04:36:20.378297","2024-02-03T04:36:20.378297","PRD-9F9N"
"PRD-ILJO-R397754","PRD-ILJO-R397754","Digital Blood Pressure Monitor","Health","708","0","2024-02-03T04:42:44.157571","2024-02-03T04:42:44.157571","PRD-ILJO"
"PRD-YMPT-R649433","PRD-YMPT-R649433","LED Strip Lights 5m","Home","659","0","2024-02-03T04:57:30.923728","2024-02-03T04:57:30.923728","PRD-YMPT"
"PRD-I2I6-R285035","PRD-I2I6-R285035","Swimming Goggles","Sports","268","0","2024-02-03T04:57:33.341282","2024-02-03T04:57:33.341282","PRD-I2I6"
"PRD-BTHH-R787143","PRD-BTHH-R787143","Running Shoes Air Zoom","Clothing","183","0","2024-02-03T05:34:14.835627","2024-02-03T05:34:14.835627","PRD-BTHH"
"PRD-1YIL-R267302","PRD-1YIL-R267302","Yoga Mat Non-Slip","Health","985","0","2024-02-03T05:40:16.128724","2024-02-03T05:40:16.128724","PRD-1YIL"
"PRD-73ZK-R991147","PRD-73ZK-R991147","Power Bank 20000mAh","Electronics","445","0","2024-02-03T05:56:42.109514","2024-02-03T05:56:42.109514","PRD-73ZK"
"PRD-SBW7-R636327","PRD-SBW7-R636327","Denim Jeans Slim Fit","Clothing","871","0","2024-02-03T06:03:42.847348","2024-02-03T06:03:42.847348","PRD-SBW7"
"PRD-7YTH-R896980","PRD-7YTH-R896980","Massage Gun Deep Tissue","Health","282","0","2024-02-03T06:03:45.283441","2024-02-03T06:03:45.283441","PRD-7YTH"
"PRD-F7JL-R16099","PRD-F7JL-R16099","USB Hub 7-Port","Electronics","707","0","2024-02-03T06:10:54.892524","2024-02-03T06:10:54.892524","PRD-F7JL"
"PRD-DTKV-R230695","PRD-DTKV-R230695","Blender 1000W","Home","106","0","2024-02-03T06:32:12.003519","2024-02-03T06:32:12.003519","PRD-DTKV"
"PRD-SF7L-R971428","PRD-SF7L-R971428","Winter Jacket Waterproof","Clothing","281","0","2024-02-03T06:35:31.654887","2024-02-03T06:35:31.654887","PRD-SF7L"
"PRD-ON4V-R740410","PRD-ON4V-R740410","Yoga Pants Leggings","Clothing","38","0","2024-02-03T06:43:32.425309","2024-02-03T06:43:32.425309","PRD-ON4V"
"PRD-15H7-R416990","PRD-15H7-R416990","Gym Gloves","Sports","833","0","2024-02-03T07:01:41.778506","2024-02-03T07:01:41.778506","PRD-15H7"
"PRD-Q8QO-R624776","PRD-Q8QO-R624776","Winter Jacket Waterproof","Clothing","533","0","2024-02-03T07:18:30.481957","2024-02-03T07:18:30.481957","PRD-Q8QO"
"PRD-78L9-R138318","PRD-78L9-R138318","Electric Toothbrush","Home","694","0","2024-02-03T07:33:49.047917","2024-02-03T07:33:49.047917","PRD-78L9"
"PRD-8AI7-R108031","PRD-8AI7-R108031","Digital Thermometer","Health","919","0","2024-02-03T07:38:25.987271","2024-02-03T07:38:25.987271","PRD-8AI7"
"PRD-HWPQ-R716348","PRD-HWPQ-R716348","Dumbbells Set Adjustable","Sports","844","0","2024-02-03T07:39:46.682728","2024-02-03T07:39:46.682728","PRD-HWPQ"
